id,symbol,direction,entry_price,position_size,stop_loss,take_profit,trailing_stop,entry_time,exit_time,exit_price,profit_loss,strategy,max_favorable_excursion,max_adverse_excursion,exit_reason
1,GBP_USD,BUY,1.24413,2905.8504455637476,1.2391639285714284,1.2540621428571428,,2023-11-16 13:00:00+00:00,2023-11-17 02:00:00+00:00,1.240507142857143,-10.52748104278461,moving_average_crossover,0.0014700000000000824,0.003730000000000011,trailing_stop
2,USD_JPY,BUY,150.594,57.42725880551251,149.89239285714285,151.99721428571425,,2023-11-16 16:00:00+00:00,2023-11-17 08:00:00+00:00,149.89239285714285,-40.291374972653294,bollinger_bands,0.18200000000001637,0.8419999999999845,stop_loss
3,USD_JPY,BUY,149.508,44.82959361963633,148.80639285714287,150.91121428571427,,2023-11-17 11:00:00+00:00,2023-11-19 22:00:00+00:00,149.662,6.903757417423831,bollinger_bands,0.3699999999999761,0.3120000000000118,time_exit
4,EUR_USD,SELL,1.08786,7223.5100270941875,1.091479642857143,1.0806207142857145,,2023-11-17 16:00:00+00:00,2023-11-19 22:00:00+00:00,1.0911,-23.404172487784514,bollinger_bands,4.0000000000040004e-05,0.003569999999999851,time_exit
5,USD_JPY,BUY,148.957,42.374917785469556,148.25539285714285,150.36021428571425,,2023-11-20 04:00:00+00:00,2023-11-20 09:00:00+00:00,148.25539285714285,-29.730544996269593,bollinger_bands,0.2540000000000191,0.7599999999999909,stop_loss
6,USD_JPY,BUY,147.438,45.04070732527861,146.73639285714285,148.84121428571424,,2023-11-21 04:00:00+00:00,2023-11-21 08:00:00+00:00,147.20985714285715,-10.2757156569236,bollinger_bands,0.396000000000015,0.28600000000000136,trailing_stop
7,EUR_USD,SELL,1.09344,4043.3274393438137,1.0970596428571429,1.0862007142857144,,2023-11-21 15:00:00+00:00,2023-11-21 17:00:00+00:00,1.0921,5.418058768720293,moving_average_crossover,0.0015499999999999403,0.0009399999999999409,signal
8,EUR_USD,BUY,1.0921,7696.806008577023,1.0884803571428572,1.0993392857142856,,2023-11-21 17:00:00+00:00,2023-11-22 08:00:00+00:00,1.0884803571428572,-27.859688891760303,bollinger_bands,0.00019999999999997797,0.0038400000000000656,stop_loss
9,GBP_USD,BUY,1.2536,3644.8422592828842,1.2486339285714285,1.2635321428571429,,2023-11-22 12:00:00+00:00,2023-11-22 13:00:00+00:00,1.25151,-7.617720321901765,moving_average_crossover,0.0008200000000000429,0.002690000000000081,signal
10,GBP_USD,SELL,1.25151,3251.4115773019926,1.2564760714285714,1.241577857142857,,2023-11-22 13:00:00+00:00,2023-11-23 02:00:00+00:00,1.2499217857142857,5.163938315807586,moving_average_crossover,0.006589999999999874,0.0002300000000001745,trailing_stop
11,EUR_USD,BUY,1.08702,6234.269985977336,1.0834003571428572,1.0942592857142857,,2023-11-22 16:00:00+00:00,2023-11-23 08:00:00+00:00,1.090857857142857,23.92623759618215,bollinger_bands,0.006069999999999798,0.000140000000000029,trailing_stop
12,EUR_USD,SELL,1.08963,4447.70921480595,1.093249642857143,1.0823907142857145,,2023-11-23 14:00:00+00:00,2023-11-24 05:00:00+00:00,1.091155357142857,-6.784345020154454,moving_average_crossover,0.00013000000000018552,0.0015899999999999803,trailing_stop
13,EUR_USD,SELL,1.09334,9090.97573455672,1.0969596428571429,1.0861007142857144,,2023-11-24 16:00:00+00:00,2023-11-26 22:00:00+00:00,1.09448,-10.363712337393922,bollinger_bands,0.000520000000000076,0.0015499999999999403,time_exit
14,USD_JPY,BUY,149.008,70.56615461913022,148.30639285714287,150.41121428571427,,2023-11-27 04:00:00+00:00,2023-11-27 12:00:00+00:00,148.83942857142858,-11.895437492938877,bollinger_bands,0.32200000000000273,0.23400000000000887,trailing_stop
15,EUR_USD,SELL,1.09284,4571.691192310408,1.096459642857143,1.0856007142857145,,2023-11-27 14:00:00+00:00,2023-11-27 19:00:00+00:00,1.0952303571428572,-10.927974696476442,moving_average_crossover,0.00034000000000000696,0.002850000000000019,trailing_stop
16,USD_JPY,BUY,148.203,48.69061198112434,147.50139285714286,149.60621428571426,,2023-11-28 01:00:00+00:00,2023-11-28 14:00:00+00:00,148.26217857142856,2.8814408590252976,bollinger_bands,0.6289999999999907,0.23500000000001364,trailing_stop
17,GBP_USD,BUY,1.26425,3798.8690838744633,1.2592839285714286,1.274182142857143,,2023-11-28 13:00:00+00:00,2023-11-28 15:00:00+00:00,1.265372142857143,4.262873807690529,moving_average_crossover,0.005639999999999867,0.0006800000000000139,trailing_stop
18,EUR_USD,SELL,1.09812,8170.340999045243,1.1017396428571429,1.0908807142857144,,2023-11-28 15:00:00+00:00,2023-11-29 01:00:00+00:00,1.101327857142857,-26.20928673336546,bollinger_bands,0.0007800000000000029,0.003610000000000113,trailing_stop
19,USD_JPY,BUY,147.554,34.960560776056376,146.85239285714286,148.95721428571426,,2023-11-28 17:00:00+00:00,2023-11-29 00:00:00+00:00,146.85239285714286,-24.528579158772388,bollinger_bands,0.16200000000000614,0.7740000000000009,stop_loss
20,GBP_USD,SELL,1.26862,3256.354672296056,1.2735860714285716,1.2586878571428572,,2023-11-29 13:00:00+00:00,2023-11-29 14:00:00+00:00,1.26977,-3.7448078731404135,moving_average_crossover,0.001140000000000141,0.0020700000000000163,signal
21,GBP_USD,BUY,1.26977,3016.118375230467,1.2648039285714285,1.279702142857143,,2023-11-29 14:00:00+00:00,2023-11-29 23:00:00+00:00,1.2695,-0.8143519613122033,moving_average_crossover,0.0029799999999999827,0.003290000000000015,end_of_simulation
